0.93064,2.2625,-1
2.1087,1.5508,-1
2.854,1.4538,-1
3.9355,2.9778,1
1.5351,1.9412,-1
2.0107,1.0336,-1
2.8572,0.253,-1
1.552,1.5174,-1
3.2168,3.6102,1
1.4511,3.0515,-1
2.5988,1.8288,-1
1.9528,3.0786,-1
0.85491,1.9212,-1
1.3298,2.3306,-1
3.8018,2.3735,1
2.6338,2.7319,-1
1.0698,2.3137,-1
2.4071,0.75183,-1
1.9965,1.9309,-1
2.1842,1.4724,-1
2.6684,0.73298,-1
0.85185,1.5842,-1
1.0161,0.96026,-1
0.95735,1.9319,-1
0.9704,0.76548,-1
3.7886,2.6221,1
1.7468,0.87293,-1
1.4814,0.88257,-1
1.2604,1.8886,-1
1.0743,1.9159,-1
2.7092,2.3111,-1
1.1135,1.4559,-1
1.1273,1.6777,-1
1.0703,2.3955,-1
2.322,1.839,-1
3.6833,2.842,1
1.4561,1.6736,-1
2.911,2.2442,-1
2.224,1.434,-1
1.2485,1.1856,-1
1.9464,0.7075,-1
2.2387,1.6724,-1
1.4335,1.5418,-1
1.6579,0.36043,-1
1.4941,1.7086,-1
1.2155,1.1403,-1
1.3534,2.6168,-1
2.9311,2.1916,-1
2.5761,2.0018,-1
1.5754,2.4712,-1
2.0105,1.7464,-1
1.7499,3.0358,-1
1.9821,1.787,-1
2.7533,2.172,-1
2.6936,1.6201,-1
2.8133,3.976,1
1.8561,2.1806,-1
2.4842,2.2166,-1
2.9159,0.69799,-1
3.7667,3.4322,1
1.5964,2.9422,-1
1.9946,2.2828,-1
1.9748,1.8657,-1
2.1034,3.1241,-1
1.2328,2.066,-1
0.68712,2.0313,-1
2.4148,1.6691,-1
2.5387,2.039,-1
0.74409,2.6626,-1
2.3684,0.96778,-1
1.0589,2.0614,-1
3.7787,3.8992,1
2.6733,1.3643,-1
1.9921,1.7372,-1
3.4482,3.4844,1
1.7337,2.6063,-1
2.5191,2.3996,-1
2.1748,3.02,-1
2.5573,2.0436,-1
2.6872,1.5055,-1
0.13607,1.2035,-1
2.5249,0.94767,-1
3.927,3.3324,1
3.7338,2.4735,1
1.8917,2.268,-1
1.2075,3.0312,-1
0.34442,1.7367,-1
3.7605,3.0259,1
3.7367,3.9111,1
2.3478,2.2473,-1
2.4907,2.1152,-1
1.1907,2.111,-1
3.9785,2.4318,1
2.2078,1.4447,-1
2.4488,1.9297,-1
3.0197,2.068,-1
3.4,2.9,1
2.8,2.8,-1
3.4,1.9,-1
3.2,3.2,1
